# Optimal flow and avg speed dependent on time 
 # Passives: 178 
0.10 	 0.0000 	 0.3555 
0.20 	 3.0414 	 0.3554 
0.30 	 0.0000 	 0.3556 
0.40 	 0.0000 	 0.3556 
0.50 	 0.0000 	 0.3555 
0.60 	 0.0000 	 0.3556 
0.70 	 0.0000 	 0.3556 
0.80 	 0.0000 	 0.3555 
0.90 	 0.0000 	 0.3551 
1.00 	 0.0000 	 0.3553 
1.10 	 0.0000 	 0.3554 
1.20 	 0.0000 	 0.3554 
1.30 	 0.0000 	 0.3553 
1.40 	 0.0000 	 0.3557 
1.50 	 0.0000 	 0.3557 
1.60 	 3.0414 	 0.3557 
1.70 	 0.0000 	 0.3558 
1.80 	 0.0000 	 0.3555 
1.90 	 0.0000 	 0.3554 
2.00 	 3.0414 	 0.3552 
2.10 	 0.0000 	 0.3554 
2.20 	 0.0000 	 0.3554 
2.30 	 0.0000 	 0.3555 
2.40 	 0.0000 	 0.3557 
2.50 	 0.0000 	 0.3558 
2.60 	 0.0000 	 0.3556 
2.70 	 0.0000 	 0.3557 
2.80 	 0.0000 	 0.3557 
2.90 	 0.0000 	 0.3554 
3.00 	 3.0414 	 0.3554 
3.10 	 0.0000 	 0.3555 
3.20 	 0.0000 	 0.3558 
3.30 	 0.0000 	 0.3558 
3.40 	 0.0000 	 0.3555 
3.50 	 0.0000 	 0.3554 
3.60 	 0.0000 	 0.3555 
3.70 	 0.0000 	 0.3556 
3.80 	 0.0000 	 0.3555 
3.90 	 0.0000 	 0.3555 
4.00 	 3.0414 	 0.3556 
4.10 	 0.0000 	 0.3555 
4.20 	 0.0000 	 0.3554 
4.30 	 0.0000 	 0.3555 
4.40 	 0.0000 	 0.3553 
4.50 	 0.0000 	 0.3552 
4.60 	 0.0000 	 0.3552 
4.70 	 3.0414 	 0.3550 
4.80 	 0.0000 	 0.3551 
4.90 	 0.0000 	 0.3553 
5.00 	 0.0000 	 0.3552 
5.10 	 0.0000 	 0.3554 
5.20 	 0.0000 	 0.3556 
5.30 	 0.0000 	 0.3555 
5.40 	 0.0000 	 0.3557 
5.50 	 0.0000 	 0.3554 
5.60 	 0.0000 	 0.3556 
5.70 	 3.0414 	 0.3558 
5.80 	 0.0000 	 0.3557 
5.90 	 0.0000 	 0.3556 
6.00 	 0.0000 	 0.3555 
6.10 	 0.0000 	 0.3555 
6.20 	 0.0000 	 0.3554 
6.30 	 0.0000 	 0.3555 
6.40 	 3.0414 	 0.3555 
6.50 	 0.0000 	 0.3553 
6.60 	 0.0000 	 0.3556 
6.70 	 0.0000 	 0.3557 
6.80 	 0.0000 	 0.3556 
6.90 	 0.0000 	 0.3553 
7.00 	 0.0000 	 0.3552 
7.10 	 0.0000 	 0.3553 
7.20 	 0.0000 	 0.3552 
7.30 	 0.0000 	 0.3550 
7.40 	 0.0000 	 0.3549 
7.50 	 3.0414 	 0.3550 
7.60 	 0.0000 	 0.3548 
7.70 	 0.0000 	 0.3548 
7.80 	 0.0000 	 0.3553 
7.90 	 0.0000 	 0.3554 
8.00 	 0.0000 	 0.3558 
8.10 	 0.0000 	 0.3556 
8.20 	 0.0000 	 0.3559 
8.30 	 0.0000 	 0.3559 
8.40 	 0.0000 	 0.3558 
8.50 	 3.0414 	 0.3558 
8.60 	 0.0000 	 0.3558 
8.70 	 0.0000 	 0.3557 
